response,propensity_score,result_financeiro,result_acumulado
1,0.8904539,5864,424033
0,0.8904038,-399,423634
1,0.8903395,5864,429498
0,0.8903395,-399,429099
0,0.89031345,-399,428700
0,0.89021206,-399,428301
0,0.89014643,-399,427902
0,0.88997877,-399,427503
1,0.88985556,5864,433367
0,0.8897362,-399,432968
0,0.8896942,-399,432569
0,0.88960624,-399,432170
1,0.8895515,5864,438034
0,0.88950247,-399,437635
0,0.889332,-399,437236
1,0.889325,5864,443100
0,0.88927597,-399,442701
1,0.8892088,5864,448565
1,0.8890554,5864,454429
1,0.88902104,5864,460293
0,0.8889361,-399,459894
0,0.8889198,-399,459495
0,0.88878024,-399,459096
1,0.8887254,5864,464960
1,0.88872194,5864,470824
1,0.8886804,5864,476688
0,0.888658,-399,476289
0,0.88858455,-399,475890
0,0.8885506,-399,475491
0,0.8885179,-399,475092
1,0.88849026,5864,480956
1,0.8883548,5864,486820
0,0.8882833,-399,486421
0,0.8881289,-399,486022
0,0.8881095,-399,485623
1,0.88809794,5864,491487
0,0.8880737,-399,491088
0,0.8880183,-399,490689
1,0.8880089,5864,496553
0,0.8878875,-399,496154
0,0.887662,-399,495755
1,0.8875208,5864,501619
1,0.88742936,5864,507483
0,0.8874244,-399,507084
0,0.88741696,-399,506685
1,0.8873415,5864,512549
0,0.8873376,-399,512150
1,0.88733655,5864,518014
0,0.887068,-399,517615
0,0.8869844,-399,517216
0,0.8868941,-399,516817
1,0.88679534,5864,522681
0,0.88677037,-399,522282
1,0.88671654,5864,528146
1,0.88667715,5864,534010
1,0.8865996,5864,539874
1,0.8865073,5864,545738
0,0.88647187,-399,545339
0,0.886385,-399,544940
0,0.8863635,-399,544541
1,0.8863117,5864,550405
0,0.8863117,-399,550006
1,0.88624483,5864,555870
0,0.88623935,-399,555471
0,0.88622457,-399,555072
1,0.8860983,5864,560936
1,0.8860456,5864,566800
0,0.88598484,-399,566401
0,0.8859758,-399,566002
0,0.8859575,-399,565603
1,0.8858656,5864,571467
0,0.88585836,-399,571068
1,0.8857806,5864,576932
1,0.88577753,5864,582796
1,0.8857603,5864,588660
1,0.88560617,5864,594524
1,0.88539195,5864,600388
1,0.88537264,5864,606252
0,0.8853661,-399,605853
1,0.88524264,5864,611717
0,0.8852413,-399,611318
0,0.88519245,-399,610919
0,0.8851562,-399,610520
1,0.88510215,5864,616384
1,0.88499177,5864,622248
1,0.8849449,5864,628112
0,0.884843,-399,627713
0,0.8848217,-399,627314
0,0.884779,-399,626915
0,0.88446057,-399,626516
0,0.8844544,-399,626117
0,0.8843867,-399,625718
0,0.8843212,-399,625319
1,0.8842077,5864,631183
0,0.8841787,-399,630784
0,0.88416696,-399,630385
1,0.88413256,5864,636249
0,0.8840715,-399,635850
1,0.8838375,5864,641714
1,0.88381934,5864,647578
1,0.8837553,5864,653442
1,0.8836824,5864,659306
0,0.883623,-399,658907
0,0.8835748,-399,658508
1,0.883519,5864,664372
0,0.88332814,-399,663973
1,0.88319695,5864,669837
1,0.8831234,5864,675701
1,0.88309354,5864,681565
0,0.88308823,-399,681166
1,0.8830085,5864,687030
0,0.882986,-399,686631
0,0.8829671,-399,686232
0,0.88283426,-399,685833
0,0.8828083,-399,685434
0,0.88278407,-399,685035
0,0.88266647,-399,684636
0,0.88264686,-399,684237
1,0.8825933,5864,690101
1,0.8825541,5864,695965
1,0.8824587,5864,701829
0,0.88237596,-399,701430
1,0.88234043,5864,707294
1,0.88220435,5864,713158
0,0.8821328,-399,712759
1,0.8821328,5864,718623
0,0.8819933,-399,718224
0,0.88198096,-399,717825
1,0.8819286,5864,723689
0,0.8818024,-399,723290
0,0.88176954,-399,722891
1,0.8817476,5864,728755
0,0.88169354,-399,728356
0,0.88151985,-399,727957
0,0.88151354,-399,727558
0,0.8814298,-399,727159
1,0.88137925,5864,733023
1,0.8813348,5864,738887
1,0.8812143,5864,744751
0,0.88121283,-399,744352
1,0.8811489,5864,750216
0,0.8810856,-399,749817
0,0.88108164,-399,749418
1,0.8810728,5864,755282
0,0.8809909,-399,754883
0,0.880975,-399,754484
0,0.8807841,-399,754085
0,0.8807841,-399,753686
0,0.8807841,-399,753287
1,0.880709,5864,759151
1,0.88068527,5864,765015
0,0.8806291,-399,764616
1,0.8805197,5864,770480
1,0.88045895,5864,776344
1,0.88045895,5864,782208
0,0.88027465,-399,781809
1,0.88027465,5864,787673
1,0.88027465,5864,793537
0,0.88027465,-399,793138
1,0.88027465,5864,799002
1,0.88027465,5864,804866
0,0.880248,-399,804467
0,0.88020474,-399,804068
1,0.8801531,5864,809932
1,0.8800797,5864,815796
1,0.88007176,5864,821660
1,0.8800573,5864,827524
1,0.88005155,5864,833388
0,0.88005155,-399,832989
1,0.88004524,5864,838853
1,0.8799929,5864,844717
0,0.8799529,-399,844318
1,0.87993824,5864,850182
0,0.8799354,-399,849783
0,0.87989634,-399,849384
0,0.87988675,-399,848985
0,0.87986046,-399,848586
1,0.8798372,5864,854450
0,0.8798231,-399,854051
0,0.8798186,-399,853652
0,0.8798127,-399,853253
0,0.87978476,-399,852854
0,0.8797421,-399,852455
1,0.87966216,5864,858319
1,0.87961984,5864,864183
1,0.87957186,5864,870047
0,0.87957186,-399,869648
0,0.87952214,-399,869249
1,0.87946683,5864,875113
0,0.8794601,-399,874714
0,0.879445,-399,874315
0,0.87933797,-399,873916
0,0.8792939,-399,873517
0,0.8792796,-399,873118
1,0.8792626,5864,878982
0,0.8792626,-399,878583
1,0.8792626,5864,884447
0,0.8792099,-399,884048
1,0.87910074,5864,889912
1,0.87905914,5864,895776
0,0.87902653,-399,895377
0,0.87902653,-399,894978
0,0.87901306,-399,894579
1,0.87888885,5864,900443
0,0.8788694,-399,900044
0,0.87885374,-399,899645
0,0.87885064,-399,899246
1,0.87883073,5864,905110
0,0.8788145,-399,904711
1,0.8787411,5864,910575
0,0.8787151,-399,910176
0,0.87843245,-399,909777
0,0.8784256,-399,909378
0,0.8783947,-399,908979
1,0.8783917,5864,914843
1,0.8783336,5864,920707
0,0.8783036,-399,920308
1,0.8783022,5864,926172
1,0.8782027,5864,932036
0,0.8781725,-399,931637
0,0.87814295,-399,931238
1,0.87811226,5864,937102
0,0.8780526,-399,936703
0,0.87802327,-399,936304
0,0.87801665,-399,935905
0,0.87801105,-399,935506
0,0.8780047,-399,935107
1,0.87799066,5864,940971
0,0.8779756,-399,940572
0,0.87796134,-399,940173
0,0.8778928,-399,939774
1,0.87788856,5864,945638
0,0.8778142,-399,945239
0,0.87771755,-399,944840
1,0.8777079,5864,950704
0,0.87766665,-399,950305
0,0.87766665,-399,949906
0,0.87764424,-399,949507
1,0.87764305,5864,955371
1,0.87759626,5864,961235
1,0.87759626,5864,967099
0,0.87754124,-399,966700
0,0.87754124,-399,966301
0,0.8775263,-399,965902
1,0.87748855,5864,971766
1,0.87746155,5864,977630
0,0.8774364,-399,977231
0,0.8774364,-399,976832
1,0.87733656,5864,982696
1,0.8773148,5864,988560
0,0.87722987,-399,988161
0,0.8771632,-399,987762
0,0.8770808,-399,987363
0,0.8770778,-399,986964
1,0.8770244,5864,992828
0,0.8769793,-399,992429
0,0.87697077,-399,992030
1,0.87694037,5864,997894
0,0.8769378,-399,997495
0,0.87690395,-399,997096
0,0.8768959,-399,996697
0,0.87689286,-399,996298
0,0.8768397,-399,995899
1,0.87680554,5864,1001763
1,0.8767641,5864,1007627
1,0.8767255,5864,1013491
0,0.8766625,-399,1013092
0,0.8766512,-399,1012693
1,0.8766391,5864,1018557
0,0.8766243,-399,1018158
0,0.87662,-399,1017759
1,0.87659836,5864,1023623
0,0.8765763,-399,1023224
1,0.87650913,5864,1029088
0,0.87650037,-399,1028689
1,0.87648517,5864,1034553
1,0.8764779,5864,1040417
0,0.876391,-399,1040018
1,0.87632316,5864,1045882
1,0.8763202,5864,1051746
0,0.87626517,-399,1051347
1,0.8762005,5864,1057211
0,0.8761888,-399,1056812
1,0.8761774,5864,1062676
1,0.87614334,5864,1068540
0,0.8761309,-399,1068141
0,0.8761273,-399,1067742
0,0.8761068,-399,1067343
0,0.87606794,-399,1066944
0,0.87602586,-399,1066545
1,0.87602586,5864,1072409
1,0.87602586,5864,1078273
1,0.87599355,5864,1084137
1,0.87592447,5864,1090001
0,0.8758565,-399,1089602
0,0.8758376,-399,1089203
0,0.8758099,-399,1088804
0,0.87579703,-399,1088405
0,0.8757959,-399,1088006
1,0.8757959,5864,1093870
0,0.8757959,-399,1093471
1,0.87575185,5864,1099335
0,0.8756991,-399,1098936
1,0.87568235,5864,1104800
1,0.87564653,5864,1110664
0,0.87563354,-399,1110265
0,0.87563354,-399,1109866
1,0.875614,5864,1115730
0,0.8756064,-399,1115331
0,0.8756003,-399,1114932
1,0.87559456,5864,1120796
0,0.8755914,-399,1120397
1,0.87559044,5864,1126261
0,0.8755886,-399,1125862
1,0.87557966,5864,1131726
0,0.87557966,-399,1131327
0,0.8755401,-399,1130928
0,0.8754985,-399,1130529
1,0.87548476,5864,1136393
0,0.8753549,-399,1135994
1,0.8753007,5864,1141858
1,0.87528217,5864,1147722
0,0.8752565,-399,1147323
0,0.87518275,-399,1146924
0,0.87514824,-399,1146525
1,0.8751449,5864,1152389
0,0.8751406,-399,1151990
0,0.8751304,-399,1151591
0,0.8751223,-399,1151192
0,0.87502277,-399,1150793
0,0.87501997,-399,1150394
1,0.8750123,5864,1156258
1,0.87500113,5864,1162122
0,0.87499446,-399,1161723
0,0.8749267,-399,1161324
1,0.87487066,5864,1167188
1,0.87487066,5864,1173052
0,0.8748048,-399,1172653
1,0.8747881,5864,1178517
0,0.8747768,-399,1178118
0,0.8747568,-399,1177719
1,0.8747283,5864,1183583
1,0.87464327,5864,1189447
1,0.87463474,5864,1195311
1,0.87463474,5864,1201175
0,0.8746282,-399,1200776
0,0.8746094,-399,1200377
0,0.8746004,-399,1199978
1,0.87457633,5864,1205842
0,0.8745137,-399,1205443
0,0.87445116,-399,1205044
0,0.8741562,-399,1204645
0,0.8740398,-399,1204246
0,0.87395287,-399,1203847
0,0.8739523,-399,1203448
0,0.8738789,-399,1203049
0,0.8738266,-399,1202650
0,0.87382436,-399,1202251
0,0.8738109,-399,1201852
0,0.8737898,-399,1201453
0,0.8737348,-399,1201054
1,0.87370956,5864,1206918
1,0.8737033,5864,1212782
1,0.8736936,5864,1218646
1,0.8736732,5864,1224510
1,0.8736452,5864,1230374
0,0.87356,-399,1229975
0,0.87346965,-399,1229576
0,0.87345403,-399,1229177
1,0.8734414,5864,1235041
1,0.87342256,5864,1240905
0,0.8733734,-399,1240506
0,0.873363,-399,1240107
1,0.873363,5864,1245971
0,0.87331134,-399,1245572
1,0.8732795,5864,1251436
1,0.8732661,5864,1257300
1,0.8732535,5864,1263164
0,0.87318826,-399,1262765
1,0.87316245,5864,1268629
0,0.8731401,-399,1268230
1,0.87313884,5864,1274094
1,0.87304103,5864,1279958
1,0.8730091,5864,1285822
1,0.8729243,5864,1291686
0,0.8729243,-399,1291287
0,0.87290245,-399,1290888
1,0.8729016,5864,1296752
0,0.87285936,-399,1296353
0,0.87285846,-399,1295954
1,0.8728194,5864,1301818
0,0.87279654,-399,1301419
0,0.8727948,-399,1301020
0,0.8727948,-399,1300621
1,0.87279,5864,1306485
1,0.87277734,5864,1312349
1,0.87276155,5864,1318213
0,0.87276095,-399,1317814
1,0.8727105,5864,1323678
1,0.8727002,5864,1329542
0,0.8726673,-399,1329143
1,0.87264717,5864,1335007
0,0.87263954,-399,1334608
1,0.8726271,5864,1340472
1,0.8726271,5864,1346336
0,0.8726192,-399,1345937
0,0.8725495,-399,1345538
0,0.8725265,-399,1345139
1,0.87243754,5864,1351003
0,0.8724018,-399,1350604
0,0.87238514,-399,1350205
0,0.8723663,-399,1349806
0,0.87219644,-399,1349407
0,0.8721371,-399,1349008
1,0.8721064,5864,1354872
1,0.8720998,5864,1360736
0,0.8720925,-399,1360337
1,0.8720925,5864,1366201
1,0.8719866,5864,1372065
0,0.8719424,-399,1371666
0,0.8719424,-399,1371267
1,0.8719424,5864,1377131
0,0.87192535,-399,1376732
0,0.87192416,-399,1376333
0,0.87183434,-399,1375934
0,0.87182003,-399,1375535
0,0.8718153,-399,1375136
1,0.8717962,5864,1381000
0,0.8717313,-399,1380601
0,0.87171656,-399,1380202
0,0.87170917,-399,1379803
0,0.8717059,-399,1379404
1,0.8717059,5864,1385268
0,0.8716703,-399,1384869
0,0.87163,-399,1384470
0,0.8715511,-399,1384071
0,0.87148196,-399,1383672
1,0.8714773,5864,1389536
1,0.8713771,5864,1395400
0,0.8713715,-399,1395001
0,0.8713116,-399,1394602
0,0.87127656,-399,1394203
1,0.8712697,5864,1400067
0,0.8712446,-399,1399668
0,0.8711845,-399,1399269
0,0.87114924,-399,1398870
1,0.87114465,5864,1404734
1,0.87113976,5864,1410598
0,0.87109345,-399,1410199
1,0.8710862,5864,1416063
0,0.87104625,-399,1415664
1,0.87100977,5864,1421528
0,0.87100613,-399,1421129
1,0.87099946,5864,1426993
1,0.87097615,5864,1432857
1,0.8709374,5864,1438721
1,0.8709215,5864,1444585
0,0.8708749,-399,1444186
1,0.8707939,5864,1450050
0,0.87076837,-399,1449651
1,0.87070435,5864,1455515
0,0.8706768,-399,1455116
1,0.8706541,5864,1460980
1,0.87063843,5864,1466844
0,0.8706327,-399,1466445
0,0.87061787,-399,1466046
0,0.8706105,-399,1465647
0,0.8706105,-399,1465248
1,0.8705776,5864,1471112
1,0.8705756,5864,1476976
0,0.8705614,-399,1476577
1,0.87053376,5864,1482441
1,0.8705297,5864,1488305
1,0.87052006,5864,1494169
0,0.8705199,-399,1493770
1,0.8705181,5864,1499634
0,0.87051713,-399,1499235
0,0.87047577,-399,1498836
1,0.87045246,5864,1504700
0,0.87042457,-399,1504301
1,0.87041384,5864,1510165
1,0.8704,5864,1516029
1,0.87038106,5864,1521893
0,0.87036693,-399,1521494
0,0.8703418,-399,1521095
0,0.87032866,-399,1520696
1,0.8703265,5864,1526560
0,0.8702699,-399,1526161
0,0.8702699,-399,1525762
1,0.8702363,5864,1531626
0,0.87017363,-399,1531227
0,0.8701145,-399,1530828
0,0.870108,-399,1530429
0,0.87008315,-399,1530030
0,0.87008315,-399,1529631
0,0.87008315,-399,1529232
0,0.87006545,-399,1528833
0,0.8699716,-399,1528434
1,0.86996436,5864,1534298
0,0.86995536,-399,1533899
0,0.869948,-399,1533500
0,0.86993223,-399,1533101
1,0.86989087,5864,1538965
0,0.8698326,-399,1538566
0,0.86980844,-399,1538167
1,0.8698069,5864,1544031
1,0.86977935,5864,1549895
0,0.8697761,-399,1549496
0,0.8697144,-399,1549097
0,0.8696982,-399,1548698
1,0.86954165,5864,1554562
0,0.869535,-399,1554163
0,0.8695198,-399,1553764
0,0.8695071,-399,1553365
1,0.8694789,5864,1559229
0,0.8694789,-399,1558830
1,0.86942494,5864,1564694
0,0.86941516,-399,1564295
0,0.86941195,-399,1563896
1,0.86938065,5864,1569760
0,0.86935794,-399,1569361
0,0.8693264,-399,1568962
0,0.86929345,-399,1568563
1,0.8692698,5864,1574427
0,0.86925596,-399,1574028
1,0.86925596,5864,1579892
0,0.8691845,-399,1579493
0,0.86914676,-399,1579094
1,0.8691031,5864,1584958
1,0.8690999,5864,1590822
0,0.86908686,-399,1590423
0,0.86907697,-399,1590024
1,0.8690564,5864,1595888
0,0.8690153,-399,1595489
0,0.8690153,-399,1595090
1,0.8690108,5864,1600954
1,0.8689883,5864,1606818
1,0.86894506,5864,1612682
1,0.8689309,5864,1618546
0,0.8689283,-399,1618147
0,0.8688766,-399,1617748
0,0.86884236,-399,1617349
1,0.8687604,5864,1623213
1,0.86875904,5864,1629077
0,0.8687507,-399,1628678
0,0.8687507,-399,1628279
1,0.86874205,5864,1634143
1,0.8687271,5864,1640007
1,0.86869484,5864,1645871
0,0.8686915,-399,1645472
0,0.86868364,-399,1645073
0,0.86868054,-399,1644674
0,0.868669,-399,1644275
0,0.8686459,-399,1643876
0,0.86862916,-399,1643477
1,0.8686009,5864,1649341
1,0.8685838,5864,1655205
1,0.86852366,5864,1661069
1,0.8685231,5864,1666933
1,0.8685,5864,1672797
1,0.86846834,5864,1678661
1,0.86839104,5864,1684525
1,0.86839104,5864,1690389
1,0.86838675,5864,1696253
0,0.8683696,-399,1695854
0,0.86835086,-399,1695455
0,0.8682815,-399,1695056
1,0.86827207,5864,1700920
1,0.8682684,5864,1706784
1,0.8682121,5864,1712648
0,0.8682005,-399,1712249
0,0.8681626,-399,1711850
1,0.8681361,5864,1717714
0,0.86810905,-399,1717315
0,0.8680745,-399,1716916
0,0.8680458,-399,1716517
0,0.8680153,-399,1716118
0,0.86798614,-399,1715719
0,0.8679621,-399,1715320
0,0.8679259,-399,1714921
1,0.86792564,5864,1720785
0,0.867845,-399,1720386
1,0.86781853,5864,1726250
0,0.867806,-399,1725851
0,0.86780417,-399,1725452
0,0.8677946,-399,1725053
0,0.8677638,-399,1724654
0,0.8676318,-399,1724255
0,0.86761254,-399,1723856
0,0.867605,-399,1723457
0,0.8675684,-399,1723058
1,0.86752397,5864,1728922
0,0.8675087,-399,1728523
1,0.86750627,5864,1734387
0,0.86749613,-399,1733988
1,0.86749613,5864,1739852
0,0.86749417,-399,1739453
1,0.86747247,5864,1745317
1,0.8674724,5864,1751181
1,0.8674716,5864,1757045
0,0.867465,-399,1756646
0,0.86746186,-399,1756247
1,0.8674432,5864,1762111
0,0.86740535,-399,1761712
1,0.86736834,5864,1767576
1,0.8673356,5864,1773440
0,0.8673312,-399,1773041
0,0.86728626,-399,1772642
1,0.8672804,5864,1778506
1,0.8672747,5864,1784370
0,0.86719835,-399,1783971
0,0.8671924,-399,1783572
1,0.8671924,5864,1789436
0,0.86719036,-399,1789037
1,0.8671667,5864,1794901
1,0.8671566,5864,1800765
0,0.86715,-399,1800366
1,0.86715,5864,1806230
1,0.8671258,5864,1812094
0,0.86712295,-399,1811695
0,0.86708665,-399,1811296
0,0.8670819,-399,1810897
1,0.8670591,5864,1816761
0,0.8670561,-399,1816362
1,0.8670561,5864,1822226
0,0.8670367,-399,1821827
1,0.8669922,5864,1827691
0,0.86698896,-399,1827292
1,0.86692363,5864,1833156
1,0.8669176,5864,1839020
1,0.86688733,5864,1844884
0,0.86683404,-399,1844485
0,0.8668068,-399,1844086
0,0.86680394,-399,1843687
1,0.8667514,5864,1849551
1,0.8667391,5864,1855415
0,0.8666464,-399,1855016
0,0.8666426,-399,1854617
1,0.86663973,5864,1860481
0,0.8666002,-399,1860082
0,0.8665888,-399,1859683
0,0.8665279,-399,1859284
0,0.86649936,-399,1858885
1,0.86647356,5864,1864749
1,0.8664045,5864,1870613
1,0.8664045,5864,1876477
1,0.8663882,5864,1882341
0,0.86637056,-399,1881942
1,0.8663702,5864,1887806
0,0.86635983,-399,1887407
0,0.866344,-399,1887008
1,0.86633766,5864,1892872
0,0.8663007,-399,1892473
1,0.8662964,5864,1898337
1,0.86620456,5864,1904201
1,0.8661994,5864,1910065
1,0.8661615,5864,1915929
0,0.8660142,-399,1915530
0,0.8660142,-399,1915131
0,0.8660142,-399,1914732
0,0.86601293,-399,1914333
0,0.8659641,-399,1913934
1,0.8658661,5864,1919798
0,0.8658522,-399,1919399
1,0.86580104,5864,1925263
1,0.86570156,5864,1931127
1,0.8656912,5864,1936991
0,0.8656889,-399,1936592
0,0.86568475,-399,1936193
1,0.86568475,5864,1942057
1,0.86567974,5864,1947921
1,0.865652,5864,1953785
0,0.86562026,-399,1953386
0,0.8655868,-399,1952987
1,0.865583,5864,1958851
0,0.86554813,-399,1958452
0,0.86551094,-399,1958053
0,0.8654869,-399,1957654
1,0.86545384,5864,1963518
0,0.86543745,-399,1963119
0,0.86541814,-399,1962720
0,0.86539465,-399,1962321
1,0.8653328,5864,1968185
1,0.86533237,5864,1974049
1,0.86532986,5864,1979913
1,0.86532986,5864,1985777
0,0.86531806,-399,1985378
1,0.86531806,5864,1991242
0,0.86530274,-399,1990843
0,0.86530274,-399,1990444
0,0.8652547,-399,1990045
0,0.8652547,-399,1989646
1,0.86524665,5864,1995510
0,0.86513764,-399,1995111
0,0.8651335,-399,1994712
1,0.8651114,5864,2000576
0,0.8650732,-399,2000177
1,0.86504537,5864,2006041
1,0.8650186,5864,2011905
1,0.865017,5864,2017769
1,0.8648876,5864,2023633
0,0.8647996,-399,2023234
1,0.8647912,5864,2029098
0,0.8647678,-399,2028699
1,0.8647678,5864,2034563
0,0.8647583,-399,2034164
0,0.8647441,-399,2033765
0,0.86471075,-399,2033366
1,0.86471075,5864,2039230
1,0.86469096,5864,2045094
1,0.86469066,5864,2050958
1,0.8646831,5864,2056822
0,0.86467177,-399,2056423
0,0.8646673,-399,2056024
1,0.86462754,5864,2061888
1,0.86460155,5864,2067752
0,0.86454576,-399,2067353
1,0.8645189,5864,2073217
0,0.86451536,-399,2072818
1,0.86449194,5864,2078682
0,0.8644766,-399,2078283
1,0.86447155,5864,2084147
1,0.86447144,5864,2090011
1,0.86445343,5864,2095875
1,0.8643855,5864,2101739
1,0.864375,5864,2107603
0,0.864375,-399,2107204
1,0.8642951,5864,2113068
0,0.864293,-399,2112669
1,0.86428505,5864,2118533
1,0.86425984,5864,2124397
0,0.86425984,-399,2123998
0,0.8642454,-399,2123599
0,0.8642429,-399,2123200
0,0.8642389,-399,2122801
0,0.8642269,-399,2122402
0,0.86422193,-399,2122003
0,0.864156,-399,2121604
1,0.864156,5864,2127468
1,0.8641493,5864,2133332
1,0.8641473,5864,2139196
0,0.86413723,-399,2138797
1,0.8641036,5864,2144661
1,0.86410236,5864,2150525
0,0.86408746,-399,2150126
0,0.86403936,-399,2149727
1,0.8640123,5864,2155591
1,0.8640033,5864,2161455
1,0.8639397,5864,2167319
1,0.86393577,5864,2173183
0,0.8638888,-399,2172784
0,0.86384916,-399,2172385
0,0.8638099,-399,2171986
0,0.86377555,-399,2171587
0,0.8637669,-399,2171188
0,0.86370695,-399,2170789
0,0.8636593,-399,2170390
1,0.8636532,5864,2176254
0,0.8636449,-399,2175855
1,0.8636183,5864,2181719
0,0.8635986,-399,2181320
1,0.86358887,5864,2187184
1,0.8635761,5864,2193048
1,0.86356735,5864,2198912
0,0.8635532,-399,2198513
1,0.86354935,5864,2204377
0,0.8635445,-399,2203978
0,0.86349857,-399,2203579
1,0.86349636,5864,2209443
0,0.8634944,-399,2209044
1,0.8634917,5864,2214908
